2026-02-25 01:55:38,372 INFO    MainThread:1616111 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_setup.py:_flush():81] Configure stats pid to 1616111
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260225_015538-LSTM_LSTM_psMNIST_7_1771952137.8493764/logs/debug.log
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /gpfs/home1/aiphw227/Delay_RNN/code/wandb/run-20260225_015538-LSTM_LSTM_psMNIST_7_1771952137.8493764/logs/debug-internal.log
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_init.py:init():844] calling init triggers
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'seed': 7, 'num_epochs': 50, 'batch_size': 128, 'num_workers': 4, 'lr': 0.001, 'use_lr_scheduler': True, 'use_wandb': True, 'group_name': 'LSTM', 'model_args': {'num_layers': 1, 'hidden_size': 128}, 'dataset': {'_target_': 'datasets.sMNIST.SequentialMNIST', 'permute': True, 'input_size': 1}, 'model': {'_target_': 'models.LSTM.LSTM'}, '_wandb': {}}
2026-02-25 01:55:38,373 INFO    MainThread:1616111 [wandb_init.py:init():892] starting backend
2026-02-25 01:55:38,626 INFO    MainThread:1616111 [wandb_init.py:init():895] sending inform_init request
2026-02-25 01:55:38,629 INFO    MainThread:1616111 [wandb_init.py:init():903] backend started and connected
2026-02-25 01:55:38,630 INFO    MainThread:1616111 [wandb_init.py:init():973] updated telemetry
2026-02-25 01:55:38,631 INFO    MainThread:1616111 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-02-25 01:55:39,399 INFO    MainThread:1616111 [wandb_init.py:init():1042] starting run threads in backend
2026-02-25 01:55:39,453 INFO    MainThread:1616111 [wandb_run.py:_console_start():2524] atexit reg
2026-02-25 01:55:39,453 INFO    MainThread:1616111 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-02-25 01:55:39,453 INFO    MainThread:1616111 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-02-25 01:55:39,453 INFO    MainThread:1616111 [wandb_run.py:_redirect():2465] Redirects installed.
2026-02-25 01:55:39,456 INFO    MainThread:1616111 [wandb_init.py:init():1082] run started, returning control to user process
2026-02-25 01:59:47,651 INFO    wandb-AsyncioManager-main:1616111 [service_client.py:_forward_responses():134] Reached EOF.
2026-02-25 01:59:47,651 INFO    wandb-AsyncioManager-main:1616111 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
